qaid	message
spam.csv_18	Fine if thatï¿½ï¿½s the way u feel. Thatï¿½ï¿½s the way its gota b
spam.csv_19	England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+
spam.csv_20	Is that seriously how you spell his name?
spam.csv_21	Iï¿½ï¿½ï¿½m going to try for 2 months ha ha only joking
spam.csv_22	So ï¿½_ pay first lar... Then when is da stock comin...
spam.csv_23	Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
spam.csv_24	Ffffffffff. Alright no way I can meet up with you sooner?
spam.csv_25	Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
spam.csv_26	Lol your always so convincing.
spam.csv_27	Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
spam.csv_28	I'm back &amp; we're packing the car now, I'll let you know if there's room
spam.csv_29	Ahhh. Work. I vaguely remember that! What does it feel like? Lol
spam.csv_30	Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us
spam.csv_31	Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? 
spam.csv_32	K tell me anything about you.
spam.csv_33	For fear of fainting with the of all that housework you just did? Quick have a cuppa
spam.csv_34	Thanks for your subscription to Ringtone UK your mobile will be charged ï¿½5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
spam.csv_35	Yup... Ok i go home look at the timings then i msg ï¿½_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am
spam.csv_36	Oops, I'll let you know when my roommate's done
spam.csv_37	I see the letter B on my car
spam.csv_38	Anything lor... U decide...
spam.csv_39	Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
spam.csv_40	Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
spam.csv_41	Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy
spam.csv_42	07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
spam.csv_43	WHO ARE YOU SEEING?
spam.csv_44	Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
spam.csv_45	No calls..messages..missed calls
spam.csv_46	Didn't you get hep b immunisation in nigeria.
spam.csv_47	Fair enough, anything going on?
spam.csv_48	Yeah hopefully, if tyler can't do it I could maybe ask around a bit
spam.csv_49	U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
spam.csv_50	What you thinked about me. First time you saw me in class.
spam.csv_51	A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;
spam.csv_52	K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
spam.csv_53	"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."""
spam.csv_54	SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
spam.csv_55	Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
spam.csv_56	Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! 
spam.csv_57	Sorry, I'll call later in meeting.
spam.csv_58	Tell where you reached
spam.csv_59	Yes..gauti and sehwag out of odi series.
spam.csv_60	Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
spam.csv_61	Ha ha ha good joke. Girls are situation seekers.
spam.csv_62	Its a part of checking IQ
spam.csv_63	Sorry my roommates took forever, it ok if I come by now?
spam.csv_64	Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
spam.csv_65	As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a ï¿½1500 Bonus Prize, call 09066364589
spam.csv_66	"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."""
spam.csv_67	Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or ï¿½1000. To claim txt DIS to 87121 18+6*ï¿½1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ
spam.csv_68	"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!"""
spam.csv_69	I plane to give on this month end.
spam.csv_70	Wah lucky man... Then can save money... Hee...
spam.csv_71	Finished class where are you.
spam.csv_72	HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
spam.csv_73	K..k:)where are you?how did you performed?
spam.csv_74	U can call me now...
spam.csv_75	I am waiting machan. Call me once you free.
spam.csv_76	Thats cool. i am a gentleman and will treat you with dignity and respect.
spam.csv_77	I like you peoples very much:) but am very shy pa.
spam.csv_78	Does not operate after  &lt;#&gt;  or what
spam.csv_79	Its not the same here. Still looking for a job. How much do Ta's earn there.
spam.csv_80	Sorry, I'll call later
spam.csv_81	K. Did you call me just now ah? 
spam.csv_82	Ok i am on the way to home hi hi
spam.csv_83	You will be in the place of that man
spam.csv_84	Yup next stop.
spam.csv_85	I call you later, don't have network. If urgnt, sms me.
spam.csv_86	For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
spam.csv_87	Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
spam.csv_88	I'm really not up to it still tonight babe
spam.csv_89	Ela kano.,il download, come wen ur free..
spam.csv_90	Yeah do! Donï¿½ï¿½ï¿½t stand to close tho- youï¿½ï¿½ï¿½ll catch something!
spam.csv_91	Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. 
spam.csv_92	Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
spam.csv_93	Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed ï¿½1000 cash or ï¿½5000 prize!
spam.csv_94	Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
spam.csv_95	"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML"
spam.csv_96	Watching telugu movie..wat abt u?
spam.csv_97	i see. When we finish we have loads of loans to pay
spam.csv_98	"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""
ham"""
spam.csv_99	Please don't text me anymore. I have nothing else to say.
spam.csv_100	Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
spam.csv_101	I'm still looking for a car to buy. And have not gone 4the driving test yet.
spam.csv_102	As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
spam.csv_103	wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.
spam.csv_104	Umma my life and vava umma love you lot dear
spam.csv_105	Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
spam.csv_106	Aight, I'll hit you up when I get some cash
spam.csv_107	How would my ip address test that considering my computer isn't a minecraft server
spam.csv_108	I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
spam.csv_109	Dont worry. I guess he's busy.
spam.csv_110	What is the plural of the noun research?
spam.csv_111	Going for dinner.msg you after.
spam.csv_112	I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.
spam.csv_113	GENT! We are trying to contact you. Last weekends draw shows that you won a ï¿½1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
spam.csv_114	Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?
spam.csv_115	As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.
spam.csv_116	You are a winner U have been specially selected 2 receive ï¿½1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) 
spam.csv_117	Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! 
spam.csv_118	Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
spam.csv_119	PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
spam.csv_120	URGENT! Your Mobile No. was awarded ï¿½2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM
spam.csv_121	here is my new address -apples&pairs&all that malarky
spam.csv_122	Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
spam.csv_123	I am going to sao mu today. Will be done only at 12 
spam.csv_124	ï¿½ï¿½ predict wat time ï¿½_'ll finish buying?
spam.csv_125	Good stuff, will do.
spam.csv_126	Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.
spam.csv_127	Are you there in room.
spam.csv_128	HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
spam.csv_129	K..k:)how much does it cost?
spam.csv_130	I'm home.
spam.csv_131	Dear, will call Tmorrow.pls accomodate.
spam.csv_132	First answer my question.
spam.csv_133	Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. ï¿½1.50 SP:Tyrone
spam.csv_134	Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
spam.csv_135	I only haf msn. It's yijue@hotmail.com
spam.csv_136	He is there. You call and meet him
spam.csv_137	No no. I will check all rooms befor activities
spam.csv_138	You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
spam.csv_139	Got c... I lazy to type... I forgot ï¿½_ in lect... I saw a pouch but like not v nice...
spam.csv_140	K, text me when you're on the way
spam.csv_141	Sir, Waiting for your mail.
spam.csv_142	"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8"""
spam.csv_143	I know you are. Can you pls open the back?
spam.csv_144	Yes see ya not on the dot
spam.csv_145	Whats the staff name who is taking class for us?
spam.csv_146	FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end
spam.csv_147	Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
spam.csv_148	K..i deleted my contact that why?
spam.csv_149	Sindu got job in birla soft ..
spam.csv_150	The wine is flowing and i'm i have nevering..
spam.csv_151	Yup i thk cine is better cos no need 2 go down 2 plaza mah.
spam.csv_152	Ok... Ur typical reply...
spam.csv_153	As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
spam.csv_154	You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.
spam.csv_155	Aaooooright are you at work?
spam.csv_156	I'm leaving my house now...
spam.csv_157	Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?
spam.csv_158	Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
spam.csv_159	You are a winner U have been specially selected 2 receive ï¿½1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
spam.csv_160	Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
spam.csv_161	New car and house for my parents.:)i have only new job in hand:)
spam.csv_162	I'm so in love with you. I'm excited each day i spend with you. You make me so happy.
spam.csv_163	-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
spam.csv_164	BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu
spam.csv_165	I place all ur points on e cultures module already.
spam.csv_166	URGENT! We are trying to contact you. Last weekends draw shows that you have won a ï¿½900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
spam.csv_167	Hi frnd, which is best way to avoid missunderstding wit our beloved one's?
spam.csv_168	Great escape. I fancy the bridge but needs her lager. See you tomo 
spam.csv_169	Yes :)it completely in out of form:)clark also utter waste.
spam.csv_170	Sir, I need AXIS BANK account no and bank address.
spam.csv_171	Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... 
spam.csv_172	What time you coming down later? 
spam.csv_173	Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... 
spam.csv_174	Well, i'm gonna finish my bath now. Have a good...fine night.
spam.csv_175	Let me know when you've got the money so carlos can make the call
spam.csv_176	U still going to the mall?
spam.csv_177	Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth
spam.csv_178	Text her. If she doesnt reply let me know so i can have her log in
spam.csv_179	Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
spam.csv_180	You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend
spam.csv_181	Lol no. U can trust me.
spam.csv_182	ok. I am a gentleman and will treat you with dignity and respect.
spam.csv_183	He will, you guys close?
spam.csv_184	Going on nothing great.bye
spam.csv_185	Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
spam.csv_186	Haha awesome, be there in a minute
spam.csv_187	Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed ï¿½1000 cash or ï¿½5000 prize!
spam.csv_188	Have you got Xmas radio times. If not i will get it now
spam.csv_189	I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...
spam.csv_190	Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
spam.csv_191	I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
spam.csv_192	Hi :)finally i completed the course:)
spam.csv_193	It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
spam.csv_194	How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
spam.csv_195	Gud mrng dear hav a nice day
spam.csv_196	Did u got that persons story
spam.csv_197	is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? 
spam.csv_198	Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx
spam.csv_199	Found it, ENC  &lt;#&gt; , where you at?
spam.csv_200	I sent you  &lt;#&gt;  bucks
spam.csv_201	Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx
spam.csv_202	Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
spam.csv_203	Goodmorning sleeping ga.
spam.csv_204	U call me alter at 11 ok.
spam.csv_205	ï¿½ï¿½ say until like dat i dun buy ericsson oso cannot oredi lar...
spam.csv_206	As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.
spam.csv_207	Aight yo, dats straight dogg
spam.csv_208	You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
spam.csv_209	Both :) i shoot big loads so get ready!
spam.csv_210	What's up bruv, hope you had a great break. Do have a rewarding semester.
spam.csv_211	Home so we can always chat
spam.csv_212	K:)k:)good:)study well.
spam.csv_213	Yup... How ï¿½_ noe leh...
spam.csv_214	Sounds great! Are you home now?
spam.csv_215	Finally the match heading towards draw as your prediction.
spam.csv_216	Tired. I haven't slept well the past few nights.
spam.csv_217	Easy ah?sen got selected means its good..
spam.csv_218	I have to take exam with march 3
spam.csv_219	Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.
spam.csv_220	Ok no prob. Take ur time.
spam.csv_221	There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
spam.csv_222	Sorry, I'll call later
spam.csv_223	U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
spam.csv_224	500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY ï¿½1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18
spam.csv_225	Would really appreciate if you call me. Just need someone to talk to.
spam.csv_226	Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES
spam.csv_227	Hey company elama po mudyadhu.
spam.csv_228	Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .
spam.csv_229	Dear good morning now only i am up
spam.csv_230	Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
spam.csv_231	Dear we are going to our rubber place
spam.csv_232	Sorry battery died, yeah I'm here
spam.csv_233	Yes:)here tv is always available in work place..
spam.csv_234	Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
spam.csv_235	I have printed it oh. So  &lt;#&gt;  come upstairs
spam.csv_236	Or ill be a little closer like at the bus stop on the same street
spam.csv_237	Where are you?when wil you reach here?
spam.csv_238	New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!
spam.csv_239	U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
spam.csv_240	Tomarrow final hearing on my laptop case so i cant.
spam.csv_241	PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
spam.csv_242	Okay. No no, just shining on. That was meant to be signing, but that sounds better.
spam.csv_243	Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...
spam.csv_244	U don't remember that old commercial?
spam.csv_245	Too late. I said i have the website. I didn't i have or dont have the slippers
spam.csv_246	I asked you to call him now ok
spam.csv_247	Kallis wont bat in 2nd innings.
spam.csv_248	It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
spam.csv_249	Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
spam.csv_250	Ranjith cal drpd Deeraj and deepak 5min hold
spam.csv_251	Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.
spam.csv_252	What you doing?how are you?
spam.csv_253	Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.
spam.csv_254	I'm back, lemme know when you're ready
spam.csv_255	Don't necessarily expect it to be done before you get back though because I'm just now headin out
spam.csv_256	Mmm so yummy babe ... Nice jolt to the suzy
spam.csv_257	Where are you lover ? I need you ...
spam.csv_258	We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
spam.csv_259	Iï¿½ï¿½ï¿½m parked next to a MINI!!!! When are you coming in today do you think?
spam.csv_260	Yup
spam.csv_261	Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
spam.csv_262	MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*
spam.csv_263	Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
spam.csv_264	Why you Dint come with us.
spam.csv_265	Same. Wana plan a trip sometme then
spam.csv_266	Not sure yet, still trying to get a hold of him
spam.csv_267	Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT
spam.csv_268	The evo. I just had to download flash. Jealous?
spam.csv_269	Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
spam.csv_270	Come to mu, we're sorting out our narcotics situation
spam.csv_271	Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.
spam.csv_272	HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
spam.csv_273	Usf I guess, might as well take 1 car
spam.csv_274	No objection. My bf not coming.
spam.csv_275	Thanx...
spam.csv_276	Tell rob to mack his gf in the theater
spam.csv_277	Awesome, I'll see you in a bit
spam.csv_278	Just sent it. So what type of food do you like?
spam.csv_279	All done? All handed in? Celebrations in full swing yet?
spam.csv_280	You got called a tool?
spam.csv_281	\Wen u miss someone
spam.csv_282	Ok. I asked for money how far
spam.csv_283	Okie...
spam.csv_284	Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down
spam.csv_285	K, I might come by tonight then if my class lets out early
spam.csv_286	Ok..
spam.csv_287	hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
spam.csv_288	My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..
spam.csv_289	Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.
spam.csv_290	Hey you told your name to gautham ah?
spam.csv_291	Haf u found him? I feel so stupid da v cam was working.
spam.csv_292	Oops. 4 got that bit.
spam.csv_293	Are you this much buzy
spam.csv_294	I accidentally deleted the message. Resend please.
spam.csv_295	T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply
spam.csv_296	Unless it's a situation where YOU GO GURL would be more appropriate
spam.csv_297	Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
spam.csv_298	I cant pick the phone right now. Pls send a message
spam.csv_299	Need a coffee run tomo?Can't believe it's that time of week already
spam.csv_300	Awesome, I remember the last time we got somebody high for the first time with diesel :V
spam.csv_301	Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?
spam.csv_302	Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? 
spam.csv_303	He is a womdarfull actor
spam.csv_304	SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE
spam.csv_305	Yup... From what i remb... I think should be can book... 
spam.csv_306	Jos ask if u wana meet up?
spam.csv_307	Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.
spam.csv_308	TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468
spam.csv_309	Where are the garage keys? They aren't on the bookshelf
spam.csv_310	Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
spam.csv_311	Think ur smart ? Win ï¿½200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week
spam.csv_312	He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week
spam.csv_313	Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.
spam.csv_314	You made my day. Do have a great day too.
spam.csv_315	K.k:)advance happy pongal.
spam.csv_316	Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...
spam.csv_317	Not really dude, have no friends i'm afraid :(
spam.csv_318	December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
spam.csv_319	Coffee cake, i guess...
spam.csv_320	Merry Christmas to you too babe, i love ya *kisses*
spam.csv_321	Hey... Why dont we just go watch x men and have lunch... Haha 
spam.csv_322	cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x
spam.csv_323	That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week
spam.csv_324	No problem. How are you doing?
spam.csv_325	No calls..messages..missed calls
spam.csv_326	Hi da:)how is the todays class?
spam.csv_327	I'd say that's a good sign but, well, you know my track record at reading women
spam.csv_328	Cool, text me when you're parked
spam.csv_329	I'm reading the text i just sent you. Its meant to be a joke. So read it in that light
